110 	Avg Reward:  0.1806640625 	 Loss:  0.3830731511116028 	 Wins:  0.0 	 Epsilon:  0.01
111 	Avg Reward:  0.1934814453125 	 Loss:  0.38025468587875366 	 Wins:  0.0 	 Epsilon:  0.01
112 	Avg Reward:  0.200439453125 	 Loss:  0.37617331743240356 	 Wins:  0.0 	 Epsilon:  0.01
113 	Avg Reward:  0.177001953125 	 Loss:  0.38796061277389526 	 Wins:  0.0 	 Epsilon:  0.01
114 	Avg Reward:  0.1854248046875 	 Loss:  0.36932438611984253 	 Wins:  0.0 	 Epsilon:  0.01
115 	Avg Reward:  0.1949462890625 	 Loss:  0.38004547357559204 	 Wins:  0.0 	 Epsilon:  0.01
116 	Avg Reward:  0.1949462890625 	 Loss:  0.37970080971717834 	 Wins:  0.0 	 Epsilon:  0.01
117 	Avg Reward:  0.1810302734375 	 Loss:  0.39415299892425537 	 Wins:  0.0 	 Epsilon:  0.01
118 	Avg Reward:  0.1824951171875 	 Loss:  0.3894340395927429 	 Wins:  0.0 	 Epsilon:  0.01
119 	Avg Reward:  0.178466796875 	 Loss:  0.37967026233673096 	 Wins:  0.0 	 Epsilon:  0.01
120 	Avg Reward:  0.1898193359375 	 Loss:  0.37837764620780945 	 Wins:  0.0 	 Epsilon:  0.01
121 	Avg Reward:  0.1927490234375 	 Loss:  0.3829231858253479 	 Wins:  0.0 	 Epsilon:  0.01
122 	Avg Reward:  0.2052001953125 	 Loss:  0.36629557609558105 	 Wins:  0.0 	 Epsilon:  0.01
123 	Avg Reward:  0.1920166015625 	 Loss:  0.3793882131576538 	 Wins:  0.0 	 Epsilon:  0.01
124 	Avg Reward:  0.194580078125 	 Loss:  0.3920924961566925 	 Wins:  0.0 	 Epsilon:  0.01
125 	Avg Reward:  0.180419921875 	 Loss:  0.3873211145401001 	 Wins:  0.11441647597254005 	 Epsilon:  0.01
126 	Avg Reward:  0.20849609375 	 Loss:  0.37610727548599243 	 Wins:  0.0 	 Epsilon:  0.01
127 	Avg Reward:  0.191650390625 	 Loss:  0.3936774730682373 	 Wins:  0.0 	 Epsilon:  0.01
128 	Avg Reward:  0.1766357421875 	 Loss:  0.3712424635887146 	 Wins:  0.0 	 Epsilon:  0.01
129 	Avg Reward:  0.1846923828125 	 Loss:  0.36824068427085876 	 Wins:  0.0 	 Epsilon:  0.01
130 	Avg Reward:  0.1953125 	 Loss:  0.37244969606399536 	 Wins:  0.0 	 Epsilon:  0.01
131 	Avg Reward:  0.184814453125 	 Loss:  0.3611116111278534 	 Wins:  0.11600928074245939 	 Epsilon:  0.01
132 	Avg Reward:  0.198974609375 	 Loss:  0.38750356435775757 	 Wins:  0.0 	 Epsilon:  0.01
133 	Avg Reward:  0.1993408203125 	 Loss:  0.37374526262283325 	 Wins:  0.0 	 Epsilon:  0.01
134 	Avg Reward:  0.2030029296875 	 Loss:  0.3766348958015442 	 Wins:  0.0 	 Epsilon:  0.01
135 	Avg Reward:  0.1912841796875 	 Loss:  0.37710750102996826 	 Wins:  0.0 	 Epsilon:  0.01
136 	Avg Reward:  0.196044921875 	 Loss:  0.36949315667152405 	 Wins:  0.0 	 Epsilon:  0.01
137 	Avg Reward:  0.1824951171875 	 Loss:  0.3674278259277344 	 Wins:  0.0 	 Epsilon:  0.01
138 	Avg Reward:  0.193115234375 	 Loss:  0.38364067673683167 	 Wins:  0.0 	 Epsilon:  0.01
139 	Avg Reward:  0.19677734375 	 Loss:  0.37279748916625977 	 Wins:  0.0 	 Epsilon:  0.01
140 	Avg Reward:  0.196044921875 	 Loss:  0.3641650676727295 	 Wins:  0.0 	 Epsilon:  0.01
141 	Avg Reward:  0.2015380859375 	 Loss:  0.39035865664482117 	 Wins:  0.0 	 Epsilon:  0.01
142 	Avg Reward:  0.188720703125 	 Loss:  0.37439191341400146 	 Wins:  0.0 	 Epsilon:  0.01
143 	Avg Reward:  0.1949462890625 	 Loss:  0.39105188846588135 	 Wins:  0.0 	 Epsilon:  0.01
144 	Avg Reward:  0.1876220703125 	 Loss:  0.37681442499160767 	 Wins:  0.0 	 Epsilon:  0.01
145 	Avg Reward:  0.19677734375 	 Loss:  0.38052862882614136 	 Wins:  0.0 	 Epsilon:  0.01
146 	Avg Reward:  0.187255859375 	 Loss:  0.3752428889274597 	 Wins:  0.0 	 Epsilon:  0.01
147 	Avg Reward:  0.201904296875 	 Loss:  0.37777644395828247 	 Wins:  0.0 	 Epsilon:  0.01
148 	Avg Reward:  0.188720703125 	 Loss:  0.3784096837043762 	 Wins:  0.0 	 Epsilon:  0.01
149 	Avg Reward:  0.19677734375 	 Loss:  0.37926870584487915 	 Wins:  0.0 	 Epsilon:  0.01
150 	Avg Reward:  0.1986083984375 	 Loss:  0.3738754987716675 	 Wins:  0.0 	 Epsilon:  0.01
151 	Avg Reward:  0.18798828125 	 Loss:  0.38752302527427673 	 Wins:  0.0 	 Epsilon:  0.01
152 	Avg Reward:  0.2081298828125 	 Loss:  0.3689420819282532 	 Wins:  0.0 	 Epsilon:  0.01
153 	Avg Reward:  0.1949462890625 	 Loss:  0.3758774399757385 	 Wins:  0.0 	 Epsilon:  0.01
154 	Avg Reward:  0.18798828125 	 Loss:  0.38425204157829285 	 Wins:  0.0 	 Epsilon:  0.01
155 	Avg Reward:  0.1956787109375 	 Loss:  0.37543386220932007 	 Wins:  0.0 	 Epsilon:  0.01
156 	Avg Reward:  0.201171875 	 Loss:  0.40380987524986267 	 Wins:  0.0 	 Epsilon:  0.01
157 	Avg Reward:  0.197509765625 	 Loss:  0.37301743030548096 	 Wins:  0.0 	 Epsilon:  0.01
158 	Avg Reward:  0.204833984375 	 Loss:  0.37314265966415405 	 Wins:  0.0 	 Epsilon:  0.01
159 	Avg Reward:  0.2041015625 	 Loss:  0.3626258969306946 	 Wins:  0.0 	 Epsilon:  0.01
160 	Avg Reward:  0.1883544921875 	 Loss:  0.3844192624092102 	 Wins:  0.0 	 Epsilon:  0.01
161 	Avg Reward:  0.2030029296875 	 Loss:  0.37361881136894226 	 Wins:  0.0 	 Epsilon:  0.01
162 	Avg Reward:  0.212646484375 	 Loss:  0.3601016104221344 	 Wins:  0.1272264631043257 	 Epsilon:  0.01
163 	Avg Reward:  0.198974609375 	 Loss:  0.35918575525283813 	 Wins:  0.0 	 Epsilon:  0.01
164 	Avg Reward:  0.2088623046875 	 Loss:  0.38108789920806885 	 Wins:  0.0 	 Epsilon:  0.01
165 	Avg Reward:  0.20263671875 	 Loss:  0.386742502450943 	 Wins:  0.0 	 Epsilon:  0.01
166 	Avg Reward:  0.1953125 	 Loss:  0.3756236135959625 	 Wins:  0.0 	 Epsilon:  0.01
167 	Avg Reward:  0.1942138671875 	 Loss:  0.3726806640625 	 Wins:  0.0 	 Epsilon:  0.01
168 	Avg Reward:  0.208251953125 	 Loss:  0.3710218369960785 	 Wins:  0.12531328320802004 	 Epsilon:  0.01
169 	Avg Reward:  0.2041015625 	 Loss:  0.3652057945728302 	 Wins:  0.0 	 Epsilon:  0.01
170 	Avg Reward:  0.190185546875 	 Loss:  0.3640424311161041 	 Wins:  0.0 	 Epsilon:  0.01
171 	Avg Reward:  0.19677734375 	 Loss:  0.378525972366333 	 Wins:  0.0 	 Epsilon:  0.01
172 	Avg Reward:  0.19384765625 	 Loss:  0.3615341782569885 	 Wins:  0.0 	 Epsilon:  0.01
173 	Avg Reward:  0.20703125 	 Loss:  0.3728801906108856 	 Wins:  0.0 	 Epsilon:  0.01
174 	Avg Reward:  0.1942138671875 	 Loss:  0.3742406368255615 	 Wins:  0.0 	 Epsilon:  0.01
175 	Avg Reward:  0.2044677734375 	 Loss:  0.36460739374160767 	 Wins:  0.0 	 Epsilon:  0.01
176 	Avg Reward:  0.189208984375 	 Loss:  0.36282575130462646 	 Wins:  0.11764705882352941 	 Epsilon:  0.01
177 	Avg Reward:  0.1978759765625 	 Loss:  0.3588372468948364 	 Wins:  0.0 	 Epsilon:  0.01
178 	Avg Reward:  0.2088623046875 	 Loss:  0.36964842677116394 	 Wins:  0.0 	 Epsilon:  0.01
179 	Avg Reward:  0.1978759765625 	 Loss:  0.3613157272338867 	 Wins:  0.0 	 Epsilon:  0.01
180 	Avg Reward:  0.1905517578125 	 Loss:  0.3618737459182739 	 Wins:  0.0 	 Epsilon:  0.01
181 	Avg Reward:  0.1876220703125 	 Loss:  0.3717084228992462 	 Wins:  0.0 	 Epsilon:  0.01
182 	Avg Reward:  0.1932373046875 	 Loss:  0.3772367238998413 	 Wins:  0.11918951132300358 	 Epsilon:  0.01
183 	Avg Reward:  0.2147216796875 	 Loss:  0.3718959093093872 	 Wins:  0.0 	 Epsilon:  0.01
184 	Avg Reward:  0.2000732421875 	 Loss:  0.3727545738220215 	 Wins:  0.0 	 Epsilon:  0.01
185 	Avg Reward:  0.1910400390625 	 Loss:  0.3639838397502899 	 Wins:  0.11834319526627218 	 Epsilon:  0.01
186 	Avg Reward:  0.2081298828125 	 Loss:  0.3790361285209656 	 Wins:  0.0 	 Epsilon:  0.01
187 	Avg Reward:  0.206298828125 	 Loss:  0.3590874969959259 	 Wins:  0.0 	 Epsilon:  0.01
188 	Avg Reward:  0.2066650390625 	 Loss:  0.3661178946495056 	 Wins:  0.0 	 Epsilon:  0.01
189 	Avg Reward:  0.1993408203125 	 Loss:  0.3730767071247101 	 Wins:  0.0 	 Epsilon:  0.01
190 	Avg Reward:  0.19677734375 	 Loss:  0.3649289608001709 	 Wins:  0.0 	 Epsilon:  0.01
191 	Avg Reward:  0.185791015625 	 Loss:  0.3644227981567383 	 Wins:  0.0 	 Epsilon:  0.01
192 	Avg Reward:  0.2037353515625 	 Loss:  0.36890560388565063 	 Wins:  0.0 	 Epsilon:  0.01
193 	Avg Reward:  0.19970703125 	 Loss:  0.373799204826355 	 Wins:  0.0 	 Epsilon:  0.01
194 	Avg Reward:  0.2103271484375 	 Loss:  0.3762248456478119 	 Wins:  0.0 	 Epsilon:  0.01
195 	Avg Reward:  0.2052001953125 	 Loss:  0.37970826029777527 	 Wins:  0.0 	 Epsilon:  0.01
196 	Avg Reward:  0.2052001953125 	 Loss:  0.3696940839290619 	 Wins:  0.0 	 Epsilon:  0.01
197 	Avg Reward:  0.1927490234375 	 Loss:  0.37377822399139404 	 Wins:  0.0 	 Epsilon:  0.01
198 	Avg Reward:  0.1912841796875 	 Loss:  0.3689323663711548 	 Wins:  0.0 	 Epsilon:  0.01
199 	Avg Reward:  0.2099609375 	 Loss:  0.3741815984249115 	 Wins:  0.0 	 Epsilon:  0.01
200 	Avg Reward:  0.2099609375 	 Loss:  0.36987659335136414 	 Wins:  0.0 	 Epsilon:  0.01
201 	Avg Reward:  0.1956787109375 	 Loss:  0.37282246351242065 	 Wins:  0.0 	 Epsilon:  0.01
202 	Avg Reward:  0.2073974609375 	 Loss:  0.3767286539077759 	 Wins:  0.0 	 Epsilon:  0.01
203 	Avg Reward:  0.1737060546875 	 Loss:  0.38074830174446106 	 Wins:  0.0 	 Epsilon:  0.01
204 	Avg Reward:  0.201171875 	 Loss:  0.3779025673866272 	 Wins:  0.0 	 Epsilon:  0.01
205 	Avg Reward:  0.209228515625 	 Loss:  0.3684607744216919 	 Wins:  0.0 	 Epsilon:  0.01
206 	Avg Reward:  0.199462890625 	 Loss:  0.37523871660232544 	 Wins:  0.12165450121654502 	 Epsilon:  0.01
207 	Avg Reward:  0.201904296875 	 Loss:  0.37385648488998413 	 Wins:  0.0 	 Epsilon:  0.01
208 	Avg Reward:  0.19091796875 	 Loss:  0.3714647889137268 	 Wins:  0.0 	 Epsilon:  0.01
209 	Avg Reward:  0.204833984375 	 Loss:  0.3673381209373474 	 Wins:  0.0 	 Epsilon:  0.01
210 	Avg Reward:  0.2022705078125 	 Loss:  0.38274314999580383 	 Wins:  0.0 	 Epsilon:  0.01
211 	Avg Reward:  0.2052001953125 	 Loss:  0.36482536792755127 	 Wins:  0.0 	 Epsilon:  0.01
