135 	Avg Reward:  0.1788330078125 	 Loss:  0.2257600575685501 	 Wins:  0.0 	 Epsilon:  0.01
136 	Avg Reward:  0.1737060546875 	 Loss:  0.23751863837242126 	 Wins:  0.0 	 Epsilon:  0.01
137 	Avg Reward:  0.1678466796875 	 Loss:  0.2485666573047638 	 Wins:  0.0 	 Epsilon:  0.01
138 	Avg Reward:  0.184326171875 	 Loss:  0.2356141209602356 	 Wins:  0.0 	 Epsilon:  0.01
139 	Avg Reward:  0.177734375 	 Loss:  0.2332601249217987 	 Wins:  0.0 	 Epsilon:  0.01
140 	Avg Reward:  0.165283203125 	 Loss:  0.23257070779800415 	 Wins:  0.0 	 Epsilon:  0.01
141 	Avg Reward:  0.175537109375 	 Loss:  0.22503238916397095 	 Wins:  0.0 	 Epsilon:  0.01
142 	Avg Reward:  0.1788330078125 	 Loss:  0.23530657589435577 	 Wins:  0.0 	 Epsilon:  0.01
143 	Avg Reward:  0.1707763671875 	 Loss:  0.23399096727371216 	 Wins:  0.0 	 Epsilon:  0.01
144 	Avg Reward:  0.166015625 	 Loss:  0.2349463701248169 	 Wins:  0.0 	 Epsilon:  0.01
145 	Avg Reward:  0.181396484375 	 Loss:  0.23089486360549927 	 Wins:  0.0 	 Epsilon:  0.01
146 	Avg Reward:  0.1656494140625 	 Loss:  0.23170830309391022 	 Wins:  0.0 	 Epsilon:  0.01
147 	Avg Reward:  0.1861572265625 	 Loss:  0.22617481648921967 	 Wins:  0.0 	 Epsilon:  0.01
148 	Avg Reward:  0.172607421875 	 Loss:  0.22718754410743713 	 Wins:  0.0 	 Epsilon:  0.01
149 	Avg Reward:  0.1737060546875 	 Loss:  0.246124267578125 	 Wins:  0.0 	 Epsilon:  0.01
150 	Avg Reward:  0.1700439453125 	 Loss:  0.23750841617584229 	 Wins:  0.0 	 Epsilon:  0.01
151 	Avg Reward:  0.1781005859375 	 Loss:  0.24096399545669556 	 Wins:  0.0 	 Epsilon:  0.01
152 	Avg Reward:  0.1817626953125 	 Loss:  0.23424497246742249 	 Wins:  0.0 	 Epsilon:  0.01
153 	Avg Reward:  0.1641845703125 	 Loss:  0.23680539429187775 	 Wins:  0.0 	 Epsilon:  0.01
154 	Avg Reward:  0.185791015625 	 Loss:  0.22704319655895233 	 Wins:  0.0 	 Epsilon:  0.01
155 	Avg Reward:  0.1832275390625 	 Loss:  0.23823317885398865 	 Wins:  0.0 	 Epsilon:  0.01
156 	Avg Reward:  0.17333984375 	 Loss:  0.2284659892320633 	 Wins:  0.0 	 Epsilon:  0.01
157 	Avg Reward:  0.1759033203125 	 Loss:  0.23380084335803986 	 Wins:  0.0 	 Epsilon:  0.01
158 	Avg Reward:  0.1766357421875 	 Loss:  0.2338506281375885 	 Wins:  0.0 	 Epsilon:  0.01
159 	Avg Reward:  0.1810302734375 	 Loss:  0.2368672490119934 	 Wins:  0.0 	 Epsilon:  0.01
160 	Avg Reward:  0.1905517578125 	 Loss:  0.24061410129070282 	 Wins:  0.0 	 Epsilon:  0.01
161 	Avg Reward:  0.1737060546875 	 Loss:  0.24143175780773163 	 Wins:  0.0 	 Epsilon:  0.01
162 	Avg Reward:  0.1568603515625 	 Loss:  0.2302016317844391 	 Wins:  0.0 	 Epsilon:  0.01
163 	Avg Reward:  0.1766357421875 	 Loss:  0.24817466735839844 	 Wins:  0.0 	 Epsilon:  0.01
164 	Avg Reward:  0.17919921875 	 Loss:  0.22633138298988342 	 Wins:  0.0 	 Epsilon:  0.01
165 	Avg Reward:  0.1722412109375 	 Loss:  0.22791270911693573 	 Wins:  0.0 	 Epsilon:  0.01
166 	Avg Reward:  0.1649169921875 	 Loss:  0.22332951426506042 	 Wins:  0.0 	 Epsilon:  0.01
167 	Avg Reward:  0.1817626953125 	 Loss:  0.22977858781814575 	 Wins:  0.0 	 Epsilon:  0.01
168 	Avg Reward:  0.1722412109375 	 Loss:  0.22815895080566406 	 Wins:  0.0 	 Epsilon:  0.01
169 	Avg Reward:  0.1744384765625 	 Loss:  0.23287762701511383 	 Wins:  0.0 	 Epsilon:  0.01
170 	Avg Reward:  0.160888671875 	 Loss:  0.2352873980998993 	 Wins:  0.0 	 Epsilon:  0.01
171 	Avg Reward:  0.165283203125 	 Loss:  0.22878813743591309 	 Wins:  0.0 	 Epsilon:  0.01
172 	Avg Reward:  0.171142578125 	 Loss:  0.22692948579788208 	 Wins:  0.0 	 Epsilon:  0.01
173 	Avg Reward:  0.1685791015625 	 Loss:  0.22896990180015564 	 Wins:  0.0 	 Epsilon:  0.01
174 	Avg Reward:  0.1619873046875 	 Loss:  0.23207516968250275 	 Wins:  0.0 	 Epsilon:  0.01
175 	Avg Reward:  0.13818359375 	 Loss:  0.22498494386672974 	 Wins:  0.0 	 Epsilon:  0.01
176 	Avg Reward:  0.1912841796875 	 Loss:  0.228629931807518 	 Wins:  0.0 	 Epsilon:  0.01
177 	Avg Reward:  0.17041015625 	 Loss:  0.2250148504972458 	 Wins:  0.0 	 Epsilon:  0.01
178 	Avg Reward:  0.1510009765625 	 Loss:  0.2342989146709442 	 Wins:  0.0 	 Epsilon:  0.01
179 	Avg Reward:  0.1676025390625 	 Loss:  0.23441210389137268 	 Wins:  0.11001100110011001 	 Epsilon:  0.01
180 	Avg Reward:  0.1788330078125 	 Loss:  0.240054190158844 	 Wins:  0.0 	 Epsilon:  0.01
181 	Avg Reward:  0.1663818359375 	 Loss:  0.2230328768491745 	 Wins:  0.0 	 Epsilon:  0.01
182 	Avg Reward:  0.166748046875 	 Loss:  0.23354187607765198 	 Wins:  0.0 	 Epsilon:  0.01
183 	Avg Reward:  0.1759033203125 	 Loss:  0.23360377550125122 	 Wins:  0.0 	 Epsilon:  0.01
184 	Avg Reward:  0.1634521484375 	 Loss:  0.23423555493354797 	 Wins:  0.0 	 Epsilon:  0.01
185 	Avg Reward:  0.1737060546875 	 Loss:  0.23139242827892303 	 Wins:  0.0 	 Epsilon:  0.01
186 	Avg Reward:  0.175537109375 	 Loss:  0.23969827592372894 	 Wins:  0.0 	 Epsilon:  0.01
187 	Avg Reward:  0.1649169921875 	 Loss:  0.2255944162607193 	 Wins:  0.0 	 Epsilon:  0.01
188 	Avg Reward:  0.166748046875 	 Loss:  0.23647330701351166 	 Wins:  0.0 	 Epsilon:  0.01
189 	Avg Reward:  0.1788330078125 	 Loss:  0.2348785251379013 	 Wins:  0.0 	 Epsilon:  0.01
190 	Avg Reward:  0.17041015625 	 Loss:  0.2262171506881714 	 Wins:  0.0 	 Epsilon:  0.01
191 	Avg Reward:  0.1685791015625 	 Loss:  0.2403789907693863 	 Wins:  0.0 	 Epsilon:  0.01
192 	Avg Reward:  0.17333984375 	 Loss:  0.23498943448066711 	 Wins:  0.0 	 Epsilon:  0.01
193 	Avg Reward:  0.1759033203125 	 Loss:  0.23366695642471313 	 Wins:  0.0 	 Epsilon:  0.01
194 	Avg Reward:  0.1865234375 	 Loss:  0.23381014168262482 	 Wins:  0.0 	 Epsilon:  0.01
195 	Avg Reward:  0.1663818359375 	 Loss:  0.22994810342788696 	 Wins:  0.0 	 Epsilon:  0.01
196 	Avg Reward:  0.1766357421875 	 Loss:  0.23053213953971863 	 Wins:  0.0 	 Epsilon:  0.01
197 	Avg Reward:  0.17626953125 	 Loss:  0.2321481853723526 	 Wins:  0.0 	 Epsilon:  0.01
198 	Avg Reward:  0.1517333984375 	 Loss:  0.2369498759508133 	 Wins:  0.0 	 Epsilon:  0.01
199 	Avg Reward:  0.1715087890625 	 Loss:  0.24023403227329254 	 Wins:  0.0 	 Epsilon:  0.01
200 	Avg Reward:  0.1630859375 	 Loss:  0.2373582422733307 	 Wins:  0.0 	 Epsilon:  0.01
201 	Avg Reward:  0.1744384765625 	 Loss:  0.2398892343044281 	 Wins:  0.0 	 Epsilon:  0.01
202 	Avg Reward:  0.18212890625 	 Loss:  0.23782142996788025 	 Wins:  0.0 	 Epsilon:  0.01
203 	Avg Reward:  0.166015625 	 Loss:  0.23007038235664368 	 Wins:  0.0 	 Epsilon:  0.01
204 	Avg Reward:  0.1656494140625 	 Loss:  0.21563482284545898 	 Wins:  0.0 	 Epsilon:  0.01
205 	Avg Reward:  0.169677734375 	 Loss:  0.2331388294696808 	 Wins:  0.0 	 Epsilon:  0.01
206 	Avg Reward:  0.181396484375 	 Loss:  0.2349277138710022 	 Wins:  0.0 	 Epsilon:  0.01
207 	Avg Reward:  0.1751708984375 	 Loss:  0.2361847460269928 	 Wins:  0.0 	 Epsilon:  0.01
208 	Avg Reward:  0.1961669921875 	 Loss:  0.22293171286582947 	 Wins:  0.12033694344163658 	 Epsilon:  0.01
209 	Avg Reward:  0.1619873046875 	 Loss:  0.22534507513046265 	 Wins:  0.0 	 Epsilon:  0.01
210 	Avg Reward:  0.1876220703125 	 Loss:  0.2313072830438614 	 Wins:  0.0 	 Epsilon:  0.01
211 	Avg Reward:  0.1876220703125 	 Loss:  0.21848028898239136 	 Wins:  0.0 	 Epsilon:  0.01
212 	Avg Reward:  0.1590576171875 	 Loss:  0.2321324646472931 	 Wins:  0.0 	 Epsilon:  0.01
213 	Avg Reward:  0.1788330078125 	 Loss:  0.2327449470758438 	 Wins:  0.0 	 Epsilon:  0.01
214 	Avg Reward:  0.1605224609375 	 Loss:  0.22229096293449402 	 Wins:  0.0 	 Epsilon:  0.01
215 	Avg Reward:  0.1806640625 	 Loss:  0.2370733767747879 	 Wins:  0.0 	 Epsilon:  0.01
216 	Avg Reward:  0.168212890625 	 Loss:  0.23247624933719635 	 Wins:  0.0 	 Epsilon:  0.01
217 	Avg Reward:  0.178466796875 	 Loss:  0.23565903306007385 	 Wins:  0.0 	 Epsilon:  0.01
218 	Avg Reward:  0.1641845703125 	 Loss:  0.22487294673919678 	 Wins:  0.0 	 Epsilon:  0.01
219 	Avg Reward:  0.159423828125 	 Loss:  0.24185867607593536 	 Wins:  0.0 	 Epsilon:  0.01
220 	Avg Reward:  0.1630859375 	 Loss:  0.23237377405166626 	 Wins:  0.0 	 Epsilon:  0.01
221 	Avg Reward:  0.171142578125 	 Loss:  0.2307024747133255 	 Wins:  0.0 	 Epsilon:  0.01
222 	Avg Reward:  0.1771240234375 	 Loss:  0.22854435443878174 	 Wins:  0.11325028312570781 	 Epsilon:  0.01
223 	Avg Reward:  0.1846923828125 	 Loss:  0.22494792938232422 	 Wins:  0.0 	 Epsilon:  0.01
224 	Avg Reward:  0.1748046875 	 Loss:  0.228541761636734 	 Wins:  0.0 	 Epsilon:  0.01
225 	Avg Reward:  0.1846923828125 	 Loss:  0.2217957228422165 	 Wins:  0.0 	 Epsilon:  0.01
226 	Avg Reward:  0.17626953125 	 Loss:  0.23197545111179352 	 Wins:  0.0 	 Epsilon:  0.01
227 	Avg Reward:  0.1700439453125 	 Loss:  0.2208862006664276 	 Wins:  0.0 	 Epsilon:  0.01
228 	Avg Reward:  0.1766357421875 	 Loss:  0.23432426154613495 	 Wins:  0.0 	 Epsilon:  0.01
229 	Avg Reward:  0.1773681640625 	 Loss:  0.22954778373241425 	 Wins:  0.0 	 Epsilon:  0.01
230 	Avg Reward:  0.1737060546875 	 Loss:  0.23445872962474823 	 Wins:  0.0 	 Epsilon:  0.01
231 	Avg Reward:  0.1748046875 	 Loss:  0.22887390851974487 	 Wins:  0.0 	 Epsilon:  0.01
232 	Avg Reward:  0.177001953125 	 Loss:  0.22762903571128845 	 Wins:  0.0 	 Epsilon:  0.01
233 	Avg Reward:  0.166015625 	 Loss:  0.22605739533901215 	 Wins:  0.0 	 Epsilon:  0.01
